"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
155556,"KOGAN","KALED40R93STC","China",100.305,"LCD (LED)",40,"Available",6,39.4900785,"40"
155556,"KOGAN","KALED40R93STD","China",100.305,"LCD (LED)",40,"Available",6,39.4900785,"40"
155556,"KOGAN","KALED40R93STE","China",100.305,"LCD (LED)",40,"Available",6,39.4900785,"40"
155558,"KONKA","KDE32RR314FANT-5","China",80.039,"LCD (LED)",31.51,"Available",5,31.5113543,"30"
155558,"KONKA","KDE32RR315ANT","China",80.039,"LCD (LED)",31.51,"Available",5,31.5113543,"30"
155565,"TOSHIBA","85Z670MP","China",214.783,"LCD (LED)",240.73,"Available",4,84.5600671,"85"
155568,"KONKA","UDE50QR314FANT","China",125.731,"LCD (LED)",72.19,"Available",5,49.5002947,"50"
155568,"KONKA","UDE50QR315ANT","China",125.731,"LCD (LED)",72.19,"Available",5,49.5002947,"50"
155583,"HISENSE","55U6KAU","China",138.783,"LCD (LED)",85.64,"Available",5,54.63886709999999,"55"
155583,"HISENSE","55U6KNZ","China",138.783,"LCD (LED)",85.64,"Available",5,54.63886709999999,"55"
155583,"HISENSE","55U6K series","China",138.783,"LCD (LED)",85.64,"Available",5,54.63886709999999,"55"
155584,"HISENSE","65U6KAU","China",163.896,"LCD (LED)",140.56,"Available",4,64.5258552,"65"
155584,"HISENSE","65U6KNZ","China",163.896,"LCD (LED)",140.56,"Available",4,64.5258552,"65"
155584,"HISENSE","65U6K series","China",163.896,"LCD (LED)",140.56,"Available",4,64.5258552,"65"
155585,"HISENSE","75U6KAU","China",189.274,"LCD (LED)",154.66,"Available",5,74.5171738,"75"
155585,"HISENSE","75U6KNZ","China",189.274,"LCD (LED)",154.66,"Available",5,74.5171738,"75"
155585,"HISENSE","75U6K series","China",189.274,"LCD (LED)",154.66,"Available",5,74.5171738,"75"
155594,"EKO","K650UGT","China",163.896,"LCD (LED)",141.108,"Available",4,64.5258552,"65"
155613,"EKO","K550UGT","China",138.783,"LCD (LED)",87.678,"Available",5,54.63886709999999,"55"
155639,"BLAUPUNKT","BP500USG9800","China",125.251,"LCD",102.36,"Available",3.5,49.3113187,"50"
155646,"EKO","K400FGT","China",100.791,"LCD",50.5,"Available",5,39.6814167,"40"
155646,"EKO","K400FGTQ","China",100.791,"LCD",50.5,"Available",5,39.6814167,"40"
155665,"BLAUPUNKT","BP240HSG9800","China",59.774,"LCD",20.94,"Available",5,23.5330238,"25"
155702,"PHILIPS","55PUT7428/79","China",138.798,"LCD (LED)",79.3,"Available",5,54.6447726,"55"
155735,"PHILIPS","43PUT7428/79","China",107.95,"LCD (LED)",80.8,"Available",3,42.499915,"40"
155824,"PHILIPS","43PFT6918/79","China",107.95,"LCD (LED)",38,"Available",6,42.499915,"40"
155853,"EKO","K320HGT","China",79.831,"LCD",34.296,"Available",5,31.4294647,"30"
155853,"EKO","K320FGTQ","China",79.831,"LCD",34.296,"Available",5,31.4294647,"30"
155853,"EKO","K320****","China",79.831,"LCD",34.296,"Available",5,31.4294647,"30"
155853,"EKO","K320HGTLB","China",79.831,"LCD",34.296,"Available",5,31.4294647,"30"
155853,"EKO","K320HGTLW","China",79.831,"LCD",34.296,"Available",5,31.4294647,"30"
